NAME,STATUS,REGION,ADDRESS,OBJECTID,FACILITYSITEID,FACUSE,ALTNAME,OWNEDBY,MAINTBY,DESC_,EAM_DESC,OPERDAYS,OPERHOURS,URL,RESTROOM,BASEBALL,BASKETBALL,SOCCER,PICNICAREA,PLAYGROUND,MULTIPURPOSEFIELD,BOATING,DOGPARK,FISHING,SKATE,TENNIS,ULTIMATEGOLF,CYCLING
Shaw Community Center,,Peninsula,22 Mary St,58,FAC-58,RECFAC,,City of Charleston,City of Charleston,,Shaw Community Center,,,,,,,,,,,,,,,,,
Jack Adams Tennis Center,ACTIVE,Peninsula,285 Congress St,63,FAC-63,RECFAC,,Citadel,City of Charleston,Parcel data lists owner as the Citadel. Is this parcel leased from the Citadel? Parking lot on second parcel.,Jack Adams Tennis Center,Sun-Sat,Other,http://www.charleston-sc.gov/Facilities/Facility/Details/74, , , , ,, , , , , , ,YES, ,
Lenevar Playground,ACTIVE,West Ashley,1305 S Lenevar Dr,73,FAC-73,PARKFAC,Lenevar Park,City of Charleston,City of Charleston,,Lenevar Playground Lenevar Park,Sun-Sat,Daylight,,YES,YES,YES, ,,YES, , ,YES, , ,YES, ,
Maybank Tennis Center,ACTIVE,James Island,1880 Houghton Dr,95,FAC-95,RECFAC,,City of Charleston,City of Charleston,,Maybank Tennis Center,Sun-Sat,Other,, , , , ,, , , , , , ,YES, ,
General William Moultrie Playground,ACTIVE,Peninsula,41 Ashley Ave,96,FAC-96,RECFAC,,City of Charleston,City of Charleston,,General William Moultrie Playground,Sun-Sat,Daylight,, ,YES,YES, ,,YES, , , , , ,YES, ,
James Island County Park,ACTIVE,James Island,871 Riverland Dr,99,FAC-99,RECFAC,,Charleston County Park and Recreation District,County,,James Island County Park,Sun-Sat,Other,https://www.ccprc.com/68/James-Island-County-Park,YES, , , ,YES,YES,YES, ,YES,YES, , ,YES,YES
Gadsdenboro Park,ACTIVE,Peninsula,309 Concord St,119,FAC-119,PARKFAC,,City of Charleston,City of Charleston,,Gadsdenboro Park,Sun-Sat,24 Hours/Day,, , , , ,,YES,YES, , , , , , ,
Charlotte Street Park,ACTIVE,Peninsula,0 Charlotte St,128,FAC-128,PARKFAC,,City of Charleston,City of Charleston,,Charlotte Street Park,Sun-Sat,Daylight,, , , , ,, , , , ,YES, , , ,
Harmon Field Park,ACTIVE,Peninsula,201 President St,130,FAC-130,PARKFAC,Arthur W Christopher Community Center,City of Charleston,City of Charleston,,Harmon Field Park Arthur W Christopher Community Center,Sun-Sat,24 Hours/Day,, ,YES, ,YES,,YES,YES, , , , , , ,
McMahon Playground,ACTIVE,Peninsula,55 Cleveland St,135,FAC-135,PARKFAC,,City of Charleston,City of Charleston,,McMahon Playground,Sun-Sat,Daylight,, ,YES,YES, ,,YES,YES, , , , , , ,
Martin Park,ACTIVE,Peninsula,155 Jackson St,137,FAC-137,PARKFAC,,City of Charleston,City of Charleston,,Martin Park,Mon-Fri,Daylight,, ,YES,YES, ,YES,YES, , , , , ,YES, ,
Mitchell Playground,ACTIVE,Peninsula,145 Fishburne St,139,FAC-139,RECFAC,,Mitchell School,City of Charleston,,Mitchell Playground,Sun-Sat,Daylight,,YES, ,YES, ,YES,YES, , , , , , , ,
,ACTIVE,Peninsula,68 Columbus St,144,FAC-144,PARKFAC,,City of Charleston,City of Charleston,,,Sun-Sat,Daylight,, , ,YES, ,,YES, , , , , , , ,
Forest Park Playground,,West Ashley,780 Playground Rd,159,FAC-159,PARKFAC,,City of Charleston,City of Charleston,,Forest Park Playground,,,,,,,,,,,,,,,,,
Tiedemann Park,ACTIVE,Peninsula,38 Elizabeth St,188,FAC-188,PARKFAC,,City of Charleston,City of Charleston,,Tiedemann Park,Sun-Sat,Daylight,, , ,YES, ,YES,YES, , , , , , , ,
,,Johns Island,1619 Rewes Ln,277,FAC-277,RECFAC,,City of Charleston,City of Charleston,,,,,,,,,,,,,,,,,,,
